onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0256	0.9845	3	8	6	1	n01632458_4476.JPEG	imagenet	6.0256	7.0100	1	1.9177	n01632458_4476.JPEG
16.0010	1.0008	3	8	6	2	COCO_train2014_000000493474.jpg	coco	16.0010	17.0018	2	2.2087	COCO_train2014_000000493474.jpg
26.0093	1.0008	3	8	6	3	n02966193_16898.JPEG	imagenet	26.0093	27.0101	1	1.5148	n02966193_16898.JPEG
36.0010	1.0008	3	8	6	4	n03075370_9886.JPEG	imagenet	36.0010	37.0018	2	2.3068	n03075370_9886.JPEG
46.0094	1.0008	3	8	6	5	n03942813_9877.JPEG	imagenet	46.0094	47.0102	2	2.2429	n03942813_9877.JPEG
56.0011	1.0008	3	8	6	6	n04228054_56.JPEG	imagenet	56.0011	57.0019	2	2.1948	n04228054_56.JPEG
66.0095	1.0008	3	8	6	7	n04435653_567.JPEG	imagenet	66.0095	67.0103	1	1.6108	n04435653_567.JPEG
76.0012	1.0008	3	8	6	8	COCO_train2014_000000418115.jpg	coco	76.0012	77.0020	1	3.6506	COCO_train2014_000000418115.jpg
86.0096	1.0008	3	8	6	9	lookout2.jpg	scenes	86.0096	87.0104	1	2.8424	lookout2.jpg
96.0013	1.0008	3	8	6	10	n01843065_640.JPEG	rep_imagenet	96.0013	97.0021	1	1.8264	n01843065_640.JPEG
106.0097	1.0008	3	8	6	11	COCO_train2014_000000413922.jpg	coco	106.0097	107.0105	2	3.2262	COCO_train2014_000000413922.jpg
116.0015	1.0008	3	8	6	12	n02704792_9673.JPEG	rep_imagenet	116.0015	117.0022	2	2.1221	n02704792_9673.JPEG
126.0099	1.0008	3	8	6	13	COCO_train2014_000000104328.jpg	coco	126.0099	127.0107	2	2.1459	COCO_train2014_000000104328.jpg
136.0015	1.0008	3	8	6	14	COCO_train2014_000000336040.jpg	coco	136.0015	137.0023	2	2.3938	COCO_train2014_000000336040.jpg
146.0100	1.0008	3	8	6	15	COCO_train2014_000000018367.jpg	coco	146.0100	147.0107	2	2.9858	COCO_train2014_000000018367.jpg
156.0016	1.0008	3	8	6	16	COCO_train2014_000000385582.jpg	coco	156.0016	157.0025	3	2.2175	COCO_train2014_000000385582.jpg
166.0101	1.0008	3	8	6	17	n04380533_33.JPEG	imagenet	166.0101	167.0109	1	3.1612	n04380533_33.JPEG
176.0018	1.0008	3	8	6	18	COCO_train2014_000000406445.jpg	coco	176.0018	177.0026	2	1.4494	COCO_train2014_000000406445.jpg
186.0102	0.9844	3	8	6	19	kindergarten_classroom6.jpg	scenes	186.0102	186.9946	1	3.1772	kindergarten_classroom6.jpg
196.0019	1.0008	3	8	6	20	circus4.jpg	scenes	196.0019	197.0027	2	3.1452	circus4.jpg
206.0103	0.9843	3	8	6	21	n13037406_529.JPEG	imagenet	206.0103	206.9946	2	3.6090	n13037406_529.JPEG
216.0019	1.0008	3	8	6	22	COCO_train2014_000000423222.jpg	coco	216.0019	217.0028	2	2.5610	COCO_train2014_000000423222.jpg
226.0104	0.9841	3	8	6	23	laundromat2.jpeg	scenes	226.0104	226.9945	2	1.9049	laundromat2.jpeg
236.0022	1.0008	3	8	6	24	n01798484_1157.JPEG	rep_imagenet	236.0022	237.0029	1	2.1687	n01798484_1157.JPEG
246.0105	0.9841	3	8	6	25	fireplace2.jpg	scenes	246.0105	246.9946	1	2.0084	fireplace2.jpg
256.0022	1.0008	3	8	6	26	n04604644_15039.JPEG	imagenet	256.0022	257.0030	2	1.9444	n04604644_15039.JPEG
266.0106	0.9848	3	8	6	27	COCO_train2014_000000526035.jpg	coco	266.0106	266.9954	2	5.0882	COCO_train2014_000000526035.jpg
276.0023	1.0008	3	8	6	28	n03291819_10579.JPEG	imagenet	276.0023	277.0031	2	3.1521	n03291819_10579.JPEG
286.0107	0.9841	3	8	6	29	COCO_train2014_000000403535.jpg	coco	286.0107	286.9948	1	1.7920	COCO_train2014_000000403535.jpg
296.0024	1.0008	3	8	6	30	bridge5.jpg	scenes	296.0024	297.0032	1	4.1517	bridge5.jpg
306.0111	0.9845	3	8	6	31	COCO_train2014_000000336804.jpg	coco	306.0111	306.9956	1	2.2397	COCO_train2014_000000336804.jpg
316.0025	1.0008	3	8	6	32	grocerystore2.jpg	scenes	316.0025	317.0033	2	3.3436	grocerystore2.jpg
326.0111	0.9844	3	8	6	33	n02009912_9742.JPEG	imagenet	326.0111	326.9955	2	1.7276	n02009912_9742.JPEG
336.0026	1.0008	3	8	6	34	n03874599_10119.JPEG	imagenet	336.0026	337.0035	2	1.7035	n03874599_10119.JPEG
346.0111	0.9845	3	8	6	35	COCO_train2014_000000562100.jpg	coco	346.0111	346.9955	1	2.7113	COCO_train2014_000000562100.jpg
356.0027	1.0008	3	8	6	36	COCO_train2014_000000268444.jpg	coco	356.0027	357.0036	2	1.9272	COCO_train2014_000000268444.jpg
366.0112	0.9843	3	8	6	37	n04548362_5813.JPEG	imagenet	366.0112	366.9955	2	2.2390	n04548362_5813.JPEG
